x,xStar,y,yStar
33A2,53AA,2A65,DF3C
C413,A41B,AB9C,D516
0E56,6E5E,E0AB,4552
8518,E510,A3A4,6EE0
5268,3260,92E3,D2EA
C881,A889,FE40,BE45
CADB,AAD3,F5E4,5A8F
3C57,5C5F,04EF,BA7B
E17F,8177,17CF,B935
79BC,19B4,1DBA,F5AD
86C9,E6C1,ADD5,4C17
E126,812E,61EA,5290
1A06,7A0E,3FEF,3C1F
4C4C,2C44,266E,FC35
533C,3334,6178,E22D
DE9B,BE93,FD62,5F26
41B1,21B9,10A1,77E5
29DC,49D4,A141,B3A0
12B9,72B1,EE2B,6A81
6E27,0E2F,8191,E622
D443,B44B,17C1,886F
6AA0,0AA8,88BE,D668
67B0,07B8,843E,D018
0952,695A,27CD,47CF
3F8C,5F84,8D58,F88C
4D18,2D10,41D2,70C8
306C,5064,484F,CDB2
971C,F714,7496,78F6
BE86,DE8E,30F7,CF38
54B4,34BC,EEA4,15C6
EAA2,8AAA,8A9E,28BD
F778,9770,66FC,FA8A
203C,4034,AF61,BB70
FD0A,9D02,3C73,AB92
EFC6,8FCE,FCAE,7858
A9C2,C9CA,FF77,F807
6471,0479,5314,8F32
610B,0103,053A,071A
9521,F529,6866,6C16
78E1,18E9,F57C,C7C5
557E,3576,18C7,AB56
A6BF,C6B7,5F37,99E4
D85D,B855,3B76,7E1D
AF52,CF5A,ABDF,A52F
481C,2814,D22D,CBC3
BB2E,DB26,0F5C,BEAA
3C98,5C90,D1E2,51EB
E6EE,86E6,D8D8,9131
C29B,A293,B0C0,C39C
58F0,38F8,ABFF,0BF7
A953,C95B,3579,8AAE
CD90,AD98,648B,17C0
BAE6,DAEE,B0F2,8F39
64EA,04E2,93D0,33DA
EDCC,8DC4,5B22,6745
726C,1264,F881,1EF2
6207,020F,8281,E9A2
CC80,AC88,C013,856F
5C6F,3C67,AB28,2899
EB01,8B09,C98C,B2A0
8854,E85C,7D2D,F44F
4563,256B,510E,1665
5049,3041,98D7,0138
729A,1292,E96A,30CB
F495,949D,E7F7,8A3E
AC00,CC08,40E4,1F2D
536A,3362,75E7,04A0
6660,0668,F674,78CB
620A,0202,2A34,4A3B
5207,320F,5B7C,0F66
F8BD,98B5,0F94,FC61
AD50,CD58,7D5B,588F
7827,182F,0F7E,6F74
4038,2030,0D23,87FD
25AB,45A3,A017,6ED9
35CE,55C6,AC90,6284
E12C,8124,DDAE,8418
6C7E,0C76,2556,B0AD
3629,5621,865B,4F61
3446,544E,6AA7,5486
AF2A,CF22,5EBE,569E
BEEC,DEE4,45D6,D5D0
1455,745D,3873,DED0
E06F,8067,A4E4,E6D7
7135,113D,B6D8,3F85
C5E3,A5EB,13C0,86F2
3881,5889,DDA9,E922
1F8D,7F85,50B0,A2EB
3886,588E,8B51,D8C9
5959,3951,B576,835E
B4D0,D4D8,8DA4,E92C
1ACA,7AC2,0A5B,4636
304A,5042,17A0,C59E
6EEE,0EE6,DF10,5E6E
A81E,C816,DFBD,EBC0
466B,2663,A673,9295
3205,520D,1D2F,78EA
93D8,F3D0,6D9A,8BE8
0196,619E,14D8,C70A
B36F,D367,5752,26F1
993E,F936,0FC7,7370
2A0D,4A05,A86E,BE93
A000,C008,A5C6,2EA5
A88E,C886,541C,492B
50E4,30EC,47EA,CA29
B578,D570,5679,6FF1
A448,C440,87CF,C483
3348,5340,763A,3638
50F9,30F1,2409,6EB2
5E20,3E28,30B8,70BA
4D57,2D5F,D887,3D52
887E,E876,C724,047B
D4BB,B4B3,DBF3,9EAA
1836,783E,B18B,B4FB
F9E5,99ED,27F8,5A36
8301,E309,3C47,BD31
F7D7,97DF,3F44,7535
C1E1,A1E9,8835,A830
