index,counter,key,key_binary_compact,key_binary_spaced
0,0,"[0 0]
[0 0]",0000000000000000,0000 0000 0000 0000
1,0,"[0 0]
[0 a]",0000000000000010,0000 0000 0000 0010
2,2,"[  0   0]
[  0 a^2]",0000000000000100,0000 0000 0000 0100
3,0,"[  0   0]
[  0 a^3]",0000000000001000,0000 0000 0000 1000
4,0,"[    0     0]
[    0 a + 1]",0000000000000011,0000 0000 0000 0011
5,0,"[      0       0]
[      0 a^2 + a]",0000000000000110,0000 0000 0000 0110
6,3,"[        0         0]
[        0 a^3 + a^2]",0000000000001100,0000 0000 0000 1100
7,0,"[          0           0]
[          0 a^3 + a + 1]",0000000000001011,0000 0000 0000 1011
8,0,"[      0       0]
[      0 a^2 + 1]",0000000000000101,0000 0000 0000 0101
9,3,"[      0       0]
[      0 a^3 + a]",0000000000001010,0000 0000 0000 1010
10,0,"[          0           0]
[          0 a^2 + a + 1]",0000000000000111,0000 0000 0000 0111
11,2,"[            0             0]
[            0 a^3 + a^2 + a]",0000000000001110,0000 0000 0000 1110
12,0,"[                0                 0]
[                0 a^3 + a^2 + a + 1]",0000000000001111,0000 0000 0000 1111
13,0,"[            0             0]
[            0 a^3 + a^2 + 1]",0000000000001101,0000 0000 0000 1101
14,0,"[      0       0]
[      0 a^3 + 1]",0000000000001001,0000 0000 0000 1001
15,0,"[0 0]
[0 1]",0000000000000001,0000 0000 0000 0001
16,0,"[a 0]
[0 0]",0010000000000000,0010 0000 0000 0000
17,0,"[a 0]
[0 a]",0010000000000010,0010 0000 0000 0010
18,0,"[  a   0]
[  0 a^2]",0010000000000100,0010 0000 0000 0100
19,0,"[  a   0]
[  0 a^3]",0010000000001000,0010 0000 0000 1000
20,0,"[    a     0]
[    0 a + 1]",0010000000000011,0010 0000 0000 0011
21,0,"[      a       0]
[      0 a^2 + a]",0010000000000110,0010 0000 0000 0110
22,3,"[        a         0]
[        0 a^3 + a^2]",0010000000001100,0010 0000 0000 1100
23,0,"[          a           0]
[          0 a^3 + a + 1]",0010000000001011,0010 0000 0000 1011
24,0,"[      a       0]
[      0 a^2 + 1]",0010000000000101,0010 0000 0000 0101
25,3,"[      a       0]
[      0 a^3 + a]",0010000000001010,0010 0000 0000 1010
26,2,"[          a           0]
[          0 a^2 + a + 1]",0010000000000111,0010 0000 0000 0111
27,0,"[            a             0]
[            0 a^3 + a^2 + a]",0010000000001110,0010 0000 0000 1110
28,0,"[                a                 0]
[                0 a^3 + a^2 + a + 1]",0010000000001111,0010 0000 0000 1111
29,0,"[            a             0]
[            0 a^3 + a^2 + 1]",0010000000001101,0010 0000 0000 1101
30,0,"[      a       0]
[      0 a^3 + 1]",0010000000001001,0010 0000 0000 1001
31,2,"[a 0]
[0 1]",0010000000000001,0010 0000 0000 0001
32,3,"[a^2   0]
[  0   0]",0100000000000000,0100 0000 0000 0000
33,0,"[a^2   0]
[  0   a]",0100000000000010,0100 0000 0000 0010
34,1,"[a^2   0]
[  0 a^2]",0100000000000100,0100 0000 0000 0100
35,0,"[a^2   0]
[  0 a^3]",0100000000001000,0100 0000 0000 1000
36,4,"[  a^2     0]
[    0 a + 1]",0100000000000011,0100 0000 0000 0011
37,1,"[    a^2       0]
[      0 a^2 + a]",0100000000000110,0100 0000 0000 0110
38,0,"[      a^2         0]
[        0 a^3 + a^2]",0100000000001100,0100 0000 0000 1100
39,0,"[        a^2           0]
[          0 a^3 + a + 1]",0100000000001011,0100 0000 0000 1011
40,2,"[    a^2       0]
[      0 a^2 + 1]",0100000000000101,0100 0000 0000 0101
41,0,"[    a^2       0]
[      0 a^3 + a]",0100000000001010,0100 0000 0000 1010
42,0,"[        a^2           0]
[          0 a^2 + a + 1]",0100000000000111,0100 0000 0000 0111
43,0,"[          a^2             0]
[            0 a^3 + a^2 + a]",0100000000001110,0100 0000 0000 1110
44,1,"[              a^2                 0]
[                0 a^3 + a^2 + a + 1]",0100000000001111,0100 0000 0000 1111
45,0,"[          a^2             0]
[            0 a^3 + a^2 + 1]",0100000000001101,0100 0000 0000 1101
46,0,"[    a^2       0]
[      0 a^3 + 1]",0100000000001001,0100 0000 0000 1001
47,0,"[a^2   0]
[  0   1]",0100000000000001,0100 0000 0000 0001
48,8,"[a^3   0]
[  0   0]",1000000000000000,1000 0000 0000 0000
49,0,"[a^3   0]
[  0   a]",1000000000000010,1000 0000 0000 0010
50,0,"[a^3   0]
[  0 a^2]",1000000000000100,1000 0000 0000 0100
51,0,"[a^3   0]
[  0 a^3]",1000000000001000,1000 0000 0000 1000
52,9,"[  a^3     0]
[    0 a + 1]",1000000000000011,1000 0000 0000 0011
53,10,"[    a^3       0]
[      0 a^2 + a]",1000000000000110,1000 0000 0000 0110
54,0,"[      a^3         0]
[        0 a^3 + a^2]",1000000000001100,1000 0000 0000 1100
55,0,"[        a^3           0]
[          0 a^3 + a + 1]",1000000000001011,1000 0000 0000 1011
56,22,"[    a^3       0]
[      0 a^2 + 1]",1000000000000101,1000 0000 0000 0101
57,0,"[    a^3       0]
[      0 a^3 + a]",1000000000001010,1000 0000 0000 1010
58,0,"[        a^3           0]
[          0 a^2 + a + 1]",1000000000000111,1000 0000 0000 0111
59,0,"[          a^3             0]
[            0 a^3 + a^2 + a]",1000000000001110,1000 0000 0000 1110
