index,counter,key
0,62,0000 0000 0000 0000
1,48,0001 0000 0000 0000
2,-64,0010 0000 0000 0000
3,-46,0011 0000 0000 0000
4,56,0100 0000 0000 0000
5,130,0101 0000 0000 0000
6,-58,0110 0000 0000 0000
7,-128,0111 0000 0000 0000
8,94,1000 0000 0000 0000
9,92,1001 0000 0000 0000
10,-118,1010 0000 0000 0000
11,-68,1011 0000 0000 0000
12,48,1100 0000 0000 0000
13,62,1101 0000 0000 0000
14,-76,1110 0000 0000 0000
15,-34,1111 0000 0000 0000
16,74,0000 0000 0000 0001
17,72,0001 0000 0000 0001
18,-60,0010 0000 0000 0001
19,-86,0011 0000 0000 0001
20,76,0100 0000 0000 0001
21,66,0101 0000 0000 0001
22,-86,0110 0000 0000 0001
23,-56,0111 0000 0000 0001
24,58,1000 0000 0000 0001
25,84,1001 0000 0000 0001
26,-62,1010 0000 0000 0001
27,-80,1011 0000 0000 0001
28,64,1100 0000 0000 0001
29,82,1101 0000 0000 0001
30,-80,1110 0000 0000 0001
31,-66,1111 0000 0000 0001
32,74,0000 0000 0000 0010
33,80,0001 0000 0000 0010
34,-40,0010 0000 0000 0010
35,-114,0011 0000 0000 0010
36,80,0100 0000 0000 0010
37,30,0101 0000 0000 0010
38,-110,0110 0000 0000 0010
39,0,0111 0000 0000 0010
40,46,1000 0000 0000 0010
41,64,1001 0000 0000 0010
42,-54,1010 0000 0000 0010
43,-56,1011 0000 0000 0010
44,88,1100 0000 0000 0010
45,66,1101 0000 0000 0010
46,-60,1110 0000 0000 0010
47,-94,1111 0000 0000 0010
48,22,0000 0000 0000 0011
49,76,0001 0000 0000 0011
50,-68,0010 0000 0000 0011
51,-30,0011 0000 0000 0011
52,48,0100 0000 0000 0011
53,54,0101 0000 0000 0011
54,-50,0110 0000 0000 0011
55,-52,0111 0000 0000 0011
56,58,1000 0000 0000 0011
57,44,1001 0000 0000 0011
58,-38,1010 0000 0000 0011
59,-64,1011 0000 0000 0011
60,60,1100 0000 0000 0011
61,38,1101 0000 0000 0011
62,-40,1110 0000 0000 0011
63,-58,1111 0000 0000 0011
64,66,0000 0000 0000 0100
65,40,0001 0000 0000 0100
66,-76,0010 0000 0000 0100
67,-30,0011 0000 0000 0100
68,44,0100 0000 0000 0100
69,50,0101 0000 0000 0100
70,-58,0110 0000 0000 0100
71,-36,0111 0000 0000 0100
72,70,1000 0000 0000 0100
73,24,1001 0000 0000 0100
74,-46,1010 0000 0000 0100
75,-48,1011 0000 0000 0100
76,48,1100 0000 0000 0100
77,58,1101 0000 0000 0100
78,-56,1110 0000 0000 0100
79,-50,1111 0000 0000 0100
80,58,0000 0000 0000 0101
81,84,0001 0000 0000 0101
82,-60,0010 0000 0000 0101
83,-82,0011 0000 0000 0101
84,56,0100 0000 0000 0101
85,-6,0101 0000 0000 0101
86,-58,0110 0000 0000 0101
87,8,0111 0000 0000 0101
88,18,1000 0000 0000 0101
89,32,1001 0000 0000 0101
90,-10,1010 0000 0000 0101
91,-40,1011 0000 0000 0101
92,76,1100 0000 0000 0101
93,66,1101 0000 0000 0101
94,-72,1110 0000 0000 0101
95,-70,1111 0000 0000 0101
96,78,0000 0000 0000 0110
97,40,0001 0000 0000 0110
98,-36,0010 0000 0000 0110
99,-82,0011 0000 0000 0110
100,64,0100 0000 0000 0110
101,98,0101 0000 0000 0110
102,-90,0110 0000 0000 0110
103,-72,0111 0000 0000 0110
104,74,1000 0000 0000 0110
105,88,1001 0000 0000 0110
106,-98,1010 0000 0000 0110
107,-64,1011 0000 0000 0110
108,40,1100 0000 0000 0110
109,78,1101 0000 0000 0110
110,-80,1110 0000 0000 0110
111,-38,1111 0000 0000 0110
112,82,0000 0000 0000 0111
113,48,0001 0000 0000 0111
114,-84,0010 0000 0000 0111
115,-46,0011 0000 0000 0111
116,40,0100 0000 0000 0111
117,110,0101 0000 0000 0111
118,-30,0110 0000 0000 0111
119,-120,0111 0000 0000 0111
120,66,1000 0000 0000 0111
121,84,1001 0000 0000 0111
122,-98,1010 0000 0000 0111
123,-52,1011 0000 0000 0111
124,56,1100 0000 0000 0111
125,74,1101 0000 0000 0111
126,-72,1110 0000 0000 0111
127,-58,1111 0000 0000 0111
128,-66,0000 0000 0000 1000
129,-40,0001 0000 0000 1000
130,20,0010 0000 0000 1000
131,86,0011 0000 0000 1000
132,-84,0100 0000 0000 1000
133,-74,0101 0000 0000 1000
134,106,0110 0000 0000 1000
135,52,0111 0000 0000 1000
136,-78,1000 0000 0000 1000
137,-80,1001 0000 0000 1000
138,78,1010 0000 0000 1000
139,80,1011 0000 0000 1000
