alpha_4bit,beta_2bit,correlation
0000,00,1.0
0000,01,0.0
0000,10,0.125
0000,11,0.125
0001,00,0.0
0001,01,0.25
0001,10,-0.125
0001,11,-0.375
0010,00,0.0
0010,01,0.25
0010,10,0.125
0010,11,-0.125
0011,00,0.0
0011,01,0.0
0011,10,-0.625
0011,11,0.375
0100,00,0.0
0100,01,0.0
0100,10,0.125
0100,11,0.125
0101,00,0.0
0101,01,-0.25
0101,10,-0.125
0101,11,0.125
0110,00,0.0
0110,01,-0.25
0110,10,0.125
0110,11,0.375
0111,00,0.0
0111,01,0.0
0111,10,0.375
0111,11,0.375
1000,00,0.0
1000,01,0.0
1000,10,-0.125
1000,11,-0.125
1001,00,0.0
1001,01,0.25
1001,10,0.125
1001,11,-0.125
1010,00,0.0
1010,01,0.25
1010,10,0.375
1010,11,0.125
1011,00,0.0
1011,01,0.0
1011,10,0.125
1011,11,0.125
1100,00,0.0
1100,01,0.0
1100,10,-0.125
1100,11,-0.125
1101,00,0.0
1101,01,0.75
1101,10,0.125
1101,11,0.375
1110,00,0.0
1110,01,-0.25
1110,10,0.375
1110,11,-0.375
1111,00,0.0
1111,01,0.0
1111,10,0.125
1111,11,0.125
