x,xStar,y,yStar
7FE9,1FE1,10D5,0CC1
EFA9,8FA1,BEB3,95E0
5F19,3F11,6A99,99FA
16B0,76B8,7D85,19C0
BE6D,DE65,1A22,F140
A497,C49F,4499,261A
5176,317E,402F,19DD
E64F,8647,5501,C338
7613,161B,B775,9B36
BC76,DC7E,FE00,6FF4
7FD1,1FD9,18E2,57D6
D6C9,B6C1,11D2,B1DC
8708,E700,0B4B,4FE9
5F57,3F5F,D018,DA88
D9ED,B9E5,C7E8,0B2D
2684,468C,3583,143C
0987,698F,F0F6,D0F3
4A01,2A09,70FB,C9BA
42E4,22EC,19B2,BBCC
AA86,CA8E,2A12,AEC0
36A5,56AD,A383,140B
3E76,5E7E,C4C6,02D9
6FE2,0FEA,683A,A83C
71EE,11E6,A802,C2D1
CD9B,AD93,D0CC,7564
E5CD,85C5,6E03,4095
6DD5,0DDD,8920,4A5A
20F1,40F9,185F,AEA2
EC8D,8C85,9F76,2510
FBE5,9BED,A4FA,D05E
535F,3357,DA4A,D97A
DAEF,BAE7,6D79,07FC
9492,F49A,61A4,9778
0519,6511,28FD,9D8E
BA08,DA00,9BC2,9332
3534,553C,F3A8,D86B
9012,F01A,907F,69AB
FA1B,9A13,F20E,9579
BEE6,DEEE,1C4C,B612
D1E5,B1ED,4B5D,0E73
A9D2,C9DA,0D85,AAA7
0C61,6C69,1610,23CF
4395,239D,672A,ABEC
7BA9,1BA1,812C,2A47
87C3,E7CB,61B8,8440
08B7,68BF,6E7A,AE7C
26C0,46C8,A89F,32F1
7FD8,1FD0,72BE,1122
A9AC,C9A4,72DE,F2D0
53D3,33DB,DF39,054E
083F,6837,65A4,E5A3
7B35,1B3D,2BEC,F075
33F2,53FA,3686,3956
6732,073A,EC28,5C2B
F561,9569,6C0A,397B
429C,2294,23D7,5C2F
0910,6918,F221,27F7
CE30,AE38,EEA9,BA3E
8EA0,EEA8,DEFD,383A
6FC7,0FCF,B5AA,85A7
57D2,37DA,DFF4,DC64
A3FA,C3F2,9007,837B
4406,240E,60C9,ECD5
8D1C,ED14,8991,E738
88E8,E8E0,A8A8,2AF1
2392,439A,42F8,EBE7
6EA9,0EA1,359A,5922
3C0A,5C02,A2FD,AD6D
37D9,57D1,4783,FE0F
6EE2,0EEA,5F59,EF51
68E6,08EE,7C13,A368
7BF1,1BF9,4D58,BFFF
0ABA,6AB2,6ADF,AAD4
2FA1,4FA9,51AA,9F50
49CB,29C3,E1CF,93AE
6F17,0F1F,7A9D,0A9C
B780,D788,07A9,04E9
8F7F,EF77,2CBD,A193
A92E,C926,C2C1,E36B
A37B,C373,5908,F86A
9DB4,FDBC,E954,85FC
7501,1509,E4BE,7003
9439,F431,2B59,0DAF
4344,234C,EB3E,39DA
B88B,D883,6F56,73C8
BAE4,DAEC,9C9A,F3E6
3F0E,5F06,C058,6905
95B4,F5BC,726C,DC44
7B94,1B9C,E529,E4D9
55C2,35CA,8FFC,8C6C
0FA0,6FA8,D3CB,BB33
621F,0217,C796,8793
7DAF,1DA7,6AD7,2AD3
6445,044D,7D64,648E
DDDB,BDD3,1F03,E0D2
1835,783D,4609,BECC
71C1,11C9,78E5,E7DD
D004,B00C,D621,B017
5D04,3D0C,4A01,F885
4E4D,2E45,947A,8ECE
E81D,8815,4B91,6C0F
3890,5898,C865,F1CD
0391,6399,3D6B,5F4D
9365,F36D,0D30,6157
EA6C,8A64,D921,6666
D43B,B433,1E73,E542
352C,5524,9F08,7B8E
0D32,6D3A,4D2F,DD26
F7FB,97F3,E494,B61D
A588,C580,6B5F,81F7
8D08,ED00,D610,7022
ACA0,CCA8,144E,05C8
EDD1,8DD9,47AA,FB8D
4662,266A,C01E,3394
4562,256A,D8E2,BE6F
06B1,66B9,1E30,2AAF
8ED8,EED0,328D,9903
ED6F,8D67,907A,32FF
A085,C08D,35FD,37CD
7FE2,1FEA,FF0E,7F00
0E96,6E9E,79F2,C40D
6AF2,0AFA,CC27,8C2D
425A,2252,5E53,34D9
1D79,7D71,BE3F,4AA8
8465,E46D,6E4F,4031
F338,9330,3B75,0362
FB3C,9B34,7AC2,DE10
E3DA,83D2,E2D4,6A83
1CF3,7CFB,CF69,6932
50B4,30BC,E245,A9E1
BBE6,DBEE,D3AE,A28A
9613,F61B,3617,149F
EE19,8E11,6C68,378C
9AE9,FAE1,EA35,F7F6
0D9A,6D92,2410,B415
8868,E860,7E3C,D754
F16F,9167,FC68,3782
5721,3729,B969,C2D0
E212,821A,F1E2,2F6F
5BDB,3BD3,DEB3,EF55
8598,E590,23B3,A47D
20DF,40D7,A8DD,9575
59A7,39AF,5016,5A86
CB4B,AB43,0B56,47B7
9CA0,FCA8,EB06,C3ED
B2C5,D2CD,C554,00B0
AC83,CC8B,73D4,D29C
DDC9,BDC1,9397,839B
4205,220D,444E,3912
40B0,20B8,DE03,7D5D
57EB,37E3,3942,A417
53C1,33C9,94ED,734A
115D,7155,AEF1,1CC7
92C0,F2C8,9C35,48C2
A3B6,C3BE,055F,49FA
185F,7857,FD22,6D2C
123B,7233,5C02,D6FD
E53E,8536,3632,85B4
C000,A008,41F0,7B58
2E89,4E81,62C7,364E
72A6,12AE,148A,21D2
2747,474F,9E9B,4951
1992,799A,623C,F232
9A91,FA99,E80C,3F32
54EA,34E2,28C7,2FE7
D732,B73A,0BB6,C9C9
2CFF,4CF7,9F63,A3BE
B58D,D585,3E79,9B5B
B939,D931,A5D5,05D7
4C95,2C9D,D3FD,F207
1136,713E,5E2D,2554
FC01,9C09,7481,C6B4
2998,4990,54B7,C5F6
C596,A59E,4822,91E5
2658,4650,2224,A6DC
81AA,E1A2,A8DE,1E44
3017,501F,E6BE,EBEE
026F,6267,B052,8058
8731,E739,CBB9,76EF
DE39,BE31,95C7,85CB
A5A4,C5AC,8509,0503
10AB,70A3,21E9,082F
B0B6,D0BE,CE02,0FFC
D4D9,B4D1,2AFB,7AF7
FE73,9E7B,7CE5,E96D
0E6A,6E62,8B6D,CB67
79CD,19C5,0F22,6C76
82E0,E2E8,C507,B27C
551F,3517,C8FC,C29C
8B74,EB7C,05A7,83B8
1961,7969,8DD5,28C1
B262,D26A,EF21,286E
1DA5,7DAD,AC7D,9F25
2B47,4B4F,7A8F,F54C
22D2,42DA,47C8,E377
E548,8540,20BF,8383
DC3C,BC34,30D0,1928
FDD4,9DDC,4F0A,DCC7
62B1,02B9,80D9,7CC4
36ED,56E5,3D5E,46C2
E028,8020,70B7,938C
8F21,EF29,8898,12FC
9CB9,FCB1,B978,9C0C
F1A7,91AF,FCBC,CE49
DF59,BF51,839F,9395
FB9E,9B96,3996,9997
41B8,21B0,34D1,AD0F
B0A7,D0AF,F1ED,CEC5
9D63,FD6B,8D6E,6BE9
DD69,BD61,51D0,41D4
BC66,DC6E,DC4E,A61A
1C9B,7C93,5E42,DF1D
AE09,CE01,E35B,2D10
BF73,DF7B,A4A3,0DC2
7B90,1B98,38A6,C0E8
3B4F,5B47,8A81,8011
302F,5027,3C34,3164
8C0B,EC03,4F42,3BEE
8821,E829,9650,BB23
4C7A,2C72,213A,1C62
6477,047F,1446,944F
404E,2046,CEFF,10D1
280F,4807,9313,AFFE
FBD1,9BD9,FB36,EDF5
C8CC,A8C4,5DE0,3DEF
B3E6,D3EE,A259,D3B6
91FD,F1F5,9BCB,8117
04CB,64C3,750F,384D
EDB3,8DBB,737B,14B8
36B4,56BC,2F7F,B514
2C2B,4C23,F286,14F7
B913,D91B,C3EA,D1B9
991A,F912,3D70,FA31
6E56,0E5E,9A62,EF14
1286,728E,7657,4B2F
33E3,53EB,BD48,0A1A
5472,347A,2C91,2F81
1863,786B,6295,CBB8
A226,C22E,EEB8,8A01
48CC,28C4,C812,AB61
A87F,C877,2F47,5E1F
115C,7154,017C,07AC
5440,3448,3537,BBE5
59FE,39F6,C89E,0D6A
4CB6,2CBE,8972,B358
07D5,67DD,8ABB,D784
2E27,4E2F,0451,3F9B
2881,4889,B1A7,DF51
6497,049F,E9D3,69D4
3FE3,5FEB,383B,A17C
F3CF,93C7,6170,E341
E98D,8985,ED25,D9B3
54D9,34D1,8FB2,F0E3
8E4C,EE44,1D47,F606
6FA2,0FAA,4F5E,3F52
6A66,0A6E,FEF9,BDB7
4F26,2F2E,46B6,D53F
FDB2,9DBA,F141,3810
315C,5154,AF01,EB85
ED49,8D41,FB20,E653
4580,2588,696F,B01A
0CEA,6CE2,9B64,0B6F
2EC7,4ECF,A049,BD88
A30B,C303,ACBA,3E48
3932,593A,1BAC,1ABC
282E,4826,ADC7,58DA
61D9,01D1,360A,53B2
4CA8,2CA0,1F8E,C06D
853E,E536,63AD,DB1B
688F,0887,7888,188B
C184,A18C,6898,2899
D171,B179,E770,177D
1241,7249,5134,6AB6
A41F,C417,3596,10DA
DACA,BAC2,0324,F567
279A,4792,1E67,A8E1
3A9E,5A96,DCEB,9390
000F,6007,4CE0,DCE1
ADA5,CDAD,23A3,2D93
B5B1,D5B9,802B,9027
8CC0,ECC8,4C1E,F998
83E6,E3EE,5085,0CFA
3ACC,5AC4,6CDB,5562
9787,F78F,C346,217F
8A6D,EA65,E0DF,CDBC
EA5B,8A53,7874,49ED
6CD9,0CD1,0ED2,8AEA
9CCA,FCC2,40EE,D52B
5B2A,3B22,5954,5684
D1AB,B1A3,ADCE,04A6
C9CC,A9C4,C74C,974E
C8EB,A8E3,B529,60EB
195E,7956,002F,8B30
FF2A,9F22,39A3,B072
D456,B45E,D23F,737A
C138,A130,9FE9,7A90
C488,A480,9909,7050
B65F,D657,606A,9859
9065,F06D,FAF1,C8AA
701B,1013,489C,16B6
6C3A,0C32,74EB,04EE
83E0,E3E8,9BDC,7D47
5FA2,3FAA,C61F,CEBF
912C,F124,5FA1,ACD0
A038,C030,C0C6,A41A
AC44,CC4C,E697,4698
9C59,FC51,040D,2672
177E,7776,7841,B9B6
C0F2,A0FA,C911,0C93
4560,2568,AB9C,28E4
B379,D371,81C9,F1CA
0D73,6D7B,86E6,43D8
44D5,24DD,9FBC,0E5A
C736,A73E,B040,A51E
9781,F789,0179,CEF6
DAB8,BAB0,F3A5,FEE5
EAA3,8AAB,D376,F4B3
545D,3455,5149,9DED
0883,688B,3EB5,CA0C
4ABE,2AB6,7742,8637
424B,2243,E5DF,9E0E
D670,B678,07C5,0235
C612,A61A,C491,0613
BFBB,DFB3,2271,FED7
D253,B25B,673F,7992
A3B0,C3B8,EA92,AFEB
D01E,B016,9D6F,8AC5
830F,E307,0CB9,419B
BE41,DE49,4474,5470
FE9C,9E94,7712,D8C0
7D03,1D0B,A774,4B31
F907,990F,347B,21E4
C23C,A234,E2BE,42BC
6650,0658,391B,4068
7230,1238,87D5,443C
5ADB,3AD3,C2F6,1300
919D,F195,5444,4060
60A6,00AE,4BDA,C825
5A37,3A3F,D3C8,D778
875B,E753,3F45,4BE0
6031,0039,B704,0FA9
1165,716D,CD5F,F248
C7B7,A7BF,34A3,198C
574B,3743,67CF,4B61
64DF,04D7,064A,964C
E5AA,85A2,111F,9456
53F6,33FE,6685,C238
ACA6,CCAE,AF84,2D7C
4C3E,2C36,8EFC,70DB
AD61,CD69,830E,FAC6
59D4,39DC,A3D7,E46C
570F,3707,1DD2,1402
A02B,C023,DFE6,E670
E59E,8596,1CF9,6087
77C6,17CE,87F0,05CF
57BD,37B5,58D9,9A6D
C9D7,A9DF,ED8C,BAA3
C662,A66A,7627,24CB
DF2A,BF22,248E,EC51
AA3D,CA35,F77B,F88B
97A3,F7AB,98A9,FE5E
6503,050B,A688,8DE5
AF42,CF4A,4D8A,2AA9
926C,F264,25BE,CB1B
5D6F,3D67,5BE0,56B0
2789,4781,4A5B,AF0A
26CC,46C4,B72C,1482
7D97,1D9F,E8BB,38B7
4925,292D,BFB5,2E50
96C4,F6CC,0E1B,4AC9
7E4E,1E46,7A1D,4934
46F2,26FA,6C7B,7903
06A4,66AC,AFE3,AC33
AE2C,CE24,311B,0111
737A,1372,3057,E05B
6224,022C,1EB4,1DF4
D7FA,B7F2,1B38,4A05
2990,4998,6CAC,47CB
0D9E,6D96,12EF,669E
8D4E,ED46,1032,2DCA
F9C3,99CB,C05C,F3A9
E9E9,89E1,3B26,6655
11BA,71B2,3641,064B
416F,2167,AAB7,B5D3
A731,C739,1C24,EF78
431F,2317,AF97,B453
C7E6,A7EE,72E9,F328
1E7C,7E74,A80A,AB5A
6A9A,0A92,1961,9960
E12B,8123,1E8A,3CD6
64B7,04BF,D5A1,45A0
5FFF,3FF7,7E55,7525
EBF3,8BFB,C133,8D56
ED85,8D8D,E5DE,CAB0
524A,3242,5AB4,5BA4
2044,404C,E83C,BB83
5909,3901,F5AE,8EC6
E2AB,82A3,172A,3536
6420,0428,C8F4,8BBF
2302,430A,7B25,B204
8B32,EB3A,49A1,D890
9B99,FB91,052D,22C2
B628,D620,95A2,9A12
92AF,F2A7,6485,01DD
5E7E,3E76,02D9,C4C6
41D6,21DE,AF68,5792
2414,441C,183A,3B86
2532,453A,6D9D,D5BB
95F8,F5F0,5DCE,319C
3587,558F,3B59,3629
CC60,AC68,AF5A,CDF6
C82B,A823,88D4,E19C
59AA,39A2,F540,F390
BF95,DF9D,BC68,16CD
C523,A52B,4A59,6214
576B,3763,2A10,9D46
3F62,5F6A,75CF,73EF
7F11,1F19,5160,1B47
61CC,01C4,46FB,4E6B
700B,1003,92DE,DB51
6CFA,0CF2,2255,C259
9179,F171,BDF8,9B3C
302B,5023,48CF,7387
FE08,9E00,E12B,C6F1
FAD1,9AD9,8483,16B0
600D,0005,62D6,0542
D5F3,B5FB,9984,57EE
9B33,FB3B,0D68,DBE0
D0C4,B0CC,2494,F3CE
DA36,BA3E,C9D4,549C
23BB,43B3,0B4F,4E2A
316A,5162,CC6F,CFFF
C84C,A844,285B,185D
915C,F154,9CCA,1F07
7034,103C,A0CA,A94A
23EC,43E4,75A7,21EB
B2E0,D2E8,9C88,9D28
4C53,2C5B,AE20,2B42
919E,F196,A223,E22F
4C12,2C1A,3013,C39B
47A1,27A9,C643,72C0
06FD,66F5,7863,628B
1783,778B,57A7,B344
1EF9,7EF1,F159,CBFC
1CB7,7CBF,8582,5585
442F,2427,CD84,E04A
3F34,5F3C,C5F1,8FD9
D148,B140,53AF,5EEF
837D,E375,3637,01C3
DF8A,BF82,1328,4565
88FD,E8F5,50DC,8DBF
EEB5,8EBD,69AD,2E16
60E5,00ED,FE35,251C
4423,242B,DBB8,7E31
3EBB,5EB3,9E10,F078
7294,129C,729B,76EB
B9BB,D9B3,9413,5BFB
0C2C,6C24,8EEE,8D9E
964F,F647,69B5,084D
B8B4,D8BC,84C6,654A
7BBD,1BB5,9D75,A22D
202F,4027,E400,7B47
A0AC,C0A4,2939,6938
24D3,44DB,118D,6361
5BA3,3BAB,D2B9,012E
576F,3767,0083,0F63
37C4,57CC,16D3,77F6
F22F,9227,AEBE,55EB
1FF0,7FF8,7B75,1C10
DA17,BA1F,9A69,665A
3E1B,5E13,3ABC,1423
70BE,10B6,7C6D,4784
FB29,9B21,7DE8,27CD
F2D7,92DF,368B,2FD4
6BD8,0BD0,CB32,33CF
8ACF,EAC7,6D3B,B569
DBE0,BBE8,ED9D,E05D
039E,6396,F9AE,B07F
7D26,1D2E,07F9,85C3
DACE,BAC6,915F,88B5
1ACA,7AC2,BCD9,ACD8
ABEA,CBE2,7285,25BF
99E5,F9ED,CCB8,F57F
845B,E453,24BE,B372
6137,013F,2A94,CA93
2B4B,4B43,E4C8,82D1
2A6A,4A62,F219,259D
0A2B,6A23,62B8,CE65
E474,847C,D22D,7EA3
2018,4010,1F46,FAC7
761C,1614,2020,2770
